name	price	number sold
4124 Osage St DENVER CO 80211: $400,000
4512 Vallejo St DENVER CO 80211: $700,000
1525 S Wolff St DENVER CO 80219: $270,000
19599 E 50th Dr DENVER CO 80249: $315,000
3812 N Cook St Denver CO 80205: $559,900
787 S Sherman St DENVER CO 80209: $600,000
1030 E Mississippi Ave DENVER CO 80210: $680,000
34 Jackson St DENVER CO 80206: $1,175,000
2140 Newton St DENVER CO 80211: $775,000
217 S Jackson St UNIT B DENVER CO 80209: $780,000
2280 Valentia St DENVER CO 80238: $349,900
5290 Netherland St DENVER CO 80249: $437,000
888 N Logan St APT 3F DENVER CO 80203: $274,900
7474 E Arkansas Ave APT 2105 DENVER CO 80231: $299,999
120 S Dexter St DENVER CO 80246: $1,650,000
5489 W Prentice Ct Denver CO 80123: $719,500
3131 E Alameda Ave UNIT 806 DENVER CO 80209: $564,999
4804 N Raleigh St DENVER CO 80212: $440,000
60 Clermont St DENVER CO 80220: $5,200,000
1243 Vine St APT 1 DENVER CO 80206: $179,900
1243 Vine St APT 2 DENVER CO 80206: $179,900
47 Harrison St Denver CO 80206: $1,099,900
3817 King St DENVER CO 80211: $485,000
49 Harrison St Denver CO 80206: $1,124,900
41 Harrison St Denver CO 80206: $1,149,900
